Date,Issuer,Symbol,Lead/Joint-Lead Managers,Offer Price,Opening Price,1st Day Close,1st Day % Px Chng,$ Chg Opening,$ Chg Close,Star Ratings,Performed,$ Chg Open to Close,% Chg Open to Close
2002-01-28,Synaptics,SYNA,Bear Stearns,11.0,13.11,13.11,19.18,2.11,2.11,2,,0.0,0.0
2002-02-01,ZymoGenetics ,ZGEN,Lehman Brothers/Merrill Lynch,12.0,12.01,12.05,0.42,0.01,0.05,1,,0.04,0.33305578684429643
2002-02-01,Carolina Group (Loews Corp.) ,CG,Salomon Smith Barney/Morgan Stanley,28.0,30.05,29.1,3.93,2.05,1.1,3,,-0.9499999999999997,-3.1613976705490843
2002-02-05,Sunoco Logistics Partners ,SXL,Lehman Brothers,20.25,21.25,22.1,9.14,1.0,1.85,3,,0.8500000000000001,4.0
2002-02-07,ManTech International,MANT,Jefferies,16.0,17.1,18.21,13.81,1.1,2.21,3,,1.1099999999999999,6.491228070175438
2002-02-08,Wimm Bill Dann Foods ,WBD,ING Barings,19.5,22.0,22.6,15.9,2.5,3.1,2,,0.6000000000000001,2.727272727272728
2002-02-13,GameStop ,GME,Salomon Smith Barney,18.0,19.5,20.1,11.67,1.5,2.1,3,,0.6000000000000001,3.0769230769230775
2002-02-15,PayPal,PYPL,Salomon Smith Barney,13.0,15.41,20.09,54.54,2.41,7.09,3,,4.68,30.36988968202466
2002-02-22,PETCO Animal Supplies ,PETC,Merrill Lynch/Morgan Stanley,19.0,19.36,20.0,5.26,0.36,1.0,2,,0.64,3.3057851239669422
2002-02-27,Integrated Defense ,IDE,Credit Suisse First Boston,22.0,26.75,25.0,13.64,4.75,3.0,3,,-1.75,-6.5420560747663545
2002-03-05,Tsakos Energy Navigation ,TNP,JP Morgan,15.0,15.9,15.1,0.67,0.9,0.1,1,,-0.8,-5.031446540880504
2002-03-12,WCI Communities ,WCI,UBS Warburg,19.0,22.6,22.67,19.32,3.6,3.67,3,,0.06999999999999984,0.30973451327433554
2002-03-12,Anteon International ,ANT,Goldman Sachs,18.0,21.0,20.05,11.39,3.0,2.05,3,,-0.9500000000000002,-4.523809523809525
2002-03-14,Asbury Automotive Group ,ABG,Goldman Sachs/Merrill Lynch,16.5,16.9,16.8,1.82,0.4,0.3,3,Missed,-0.10000000000000003,-0.5917159763313612
2002-03-21,Alcon ,ACL,CS First Boston/Merrill Lynch,33.0,33.9,34.0,3.03,0.9,1.0,3,,0.09999999999999998,0.29498525073746307
2002-03-22,Travelers Property Casualty,TAP.A,Salomon Smith Barney,18.5,19.55,19.56,5.73,1.05,1.06,3,,0.010000000000000009,0.051150895140665
2002-03-27,MedSource Technologies ,MEDT,Morgan Stanley,12.0,12.51,13.0,8.33,0.51,1.0,1,,0.49,3.9168665067945643
2002-04-09,Empire Financial Holding,EFH,Keefe Bruyette,6.0,6.0,5.35,-10.83,0.0,-0.65,1,,-0.65,-10.833333333333334
2002-04-12,Ribapharm,RNA,UBS Warburg,10.0,10.0,10.8,8.0,0.0,0.8,1,,0.8,8.0
2002-04-12,JetBlue Airways ,JBLU,Morgan Stanley/Merrill Lynch,27.0,37.52,45.0,66.67,10.52,18.0,3,,7.48,19.936034115138593
2002-04-18,ExpressJet Holdings ,XJT,Salomon Smith Barney/Morgan Stanley,16.0,17.1,16.0,0.0,1.1,0.0,3,,-1.1,-6.432748538011696
2002-04-18,Medical Staffing Network Holdings ,MRN,Lehman Brothers,19.0,23.0,21.5,13.16,4.0,2.5,3,,-1.5,-6.521739130434782
2002-04-24,Heritage Property Invest. Trust ,HTG,Merrill Lynch,25.0,25.1,25.05,0.2,0.1,0.05,2,Missed,-0.05,-0.199203187250996
2002-04-25,DOV Pharmaceutical ,DOVP,CIBC World Markets/Lehman Brothers,13.0,11.25,8.7,-33.08,-1.75,-4.3,1,,-2.55,-22.666666666666664
2002-04-29,Premcor ,PCO,Morgan Stanley/Credit Suisse First Boston,24.0,27.75,28.25,17.71,3.75,4.25,3,,0.5,1.8018018018018018
2002-05-03,LIN TV ,TVL,Deutsche Bank Securities,22.0,23.0,25.0,13.64,1.0,3.0,3,,2.0,8.695652173913043
2002-05-07,Quinton Cardiology Systems ,QUIN,Adams Harkness,7.0,7.5,7.19,2.71,0.5,0.19,1,,-0.31,-4.133333333333333
