win,lose,probability
Cleveland Cavaliers,New York Knicks,0.8410852313175995
Golden State Warriors,San Antonio Spurs,0.5362343969478421
Portland Trail Blazers,Utah Jazz,0.5379733524889829
Boston Celtics,Brooklyn Nets,0.8881888524818521
Indiana Pacers,Dallas Mavericks,0.5665913606224128
Houston Rockets,Los Angeles Lakers,0.8609798435409122
Memphis Grizzlies,Minnesota Timberwolves,0.6085979089579832
Charlotte Hornets,Milwaukee Bucks,0.7362165072793267
New Orleans Pelicans,Denver Nuggets,0.5030448069334867
Miami Heat,Orlando Magic,0.7275361302207473
Oklahoma City Thunder,Philadelphia 76ers,0.9625380935050661
Sacramento Kings,Phoenix Suns,0.6560057258544401
Toronto Raptors,Detroit Pistons,0.6742495253749988
Atlanta Hawks,Washington Wizards,0.6665568936152739
Boston Celtics,Chicago Bulls,0.6218497569881393
Los Angeles Clippers,Portland Trail Blazers,0.6473470818061767
San Antonio Spurs,Sacramento Kings,0.897734772770661
Indiana Pacers,Brooklyn Nets,0.8342262657505743
Dallas Mavericks,Houston Rockets,0.5089599049968022
Detroit Pistons,Orlando Magic,0.6630671202309609
Charlotte Hornets,Miami Heat,0.5053717511039819
Golden State Warriors,New Orleans Pelicans,0.9240376132489527
Oklahoma City Thunder,Phoenix Suns,0.9299656260212337
Cleveland Cavaliers,Toronto Raptors,0.5948216800908745
Utah Jazz,Los Angeles Lakers,0.8595209772452893
Indiana Pacers,Chicago Bulls,0.5614273523501516
Charlotte Hornets,Boston Celtics,0.5221463062866866
Cleveland Cavaliers,Orlando Magic,0.8211315521315573
Portland Trail Blazers,Denver Nuggets,0.7133393003932123
Milwaukee Bucks,Brooklyn Nets,0.6793467656141544
Memphis Grizzlies,New York Knicks,0.7014760771788602
Atlanta Hawks,Philadelphia 76ers,0.9216665542305567
Sacramento Kings,Minnesota Timberwolves,0.5889484077753019
San Antonio Spurs,New Orleans Pelicans,0.9050895085471988
Detroit Pistons,Milwaukee Bucks,0.6983606838777073
Houston Rockets,Dallas Mavericks,0.5157163330975494
Los Angeles Clippers,Utah Jazz,0.6717260389623361
Washington Wizards,Memphis Grizzlies,0.5687019781444365
San Antonio Spurs,Miami Heat,0.8118155906383289
Oklahoma City Thunder,Los Angeles Lakers,0.9512222045264284
Golden State Warriors,Phoenix Suns,0.9511046214353747
Atlanta Hawks,Sacramento Kings,0.7591622719034451
Chicago Bulls,Brooklyn Nets,0.849101636959098
